866069;13396;3;R19183;C;2018;01;20211031;RC;20180101;9964;I;
866069;13396;3;R19054;C;2018;02;20211031;RC;20180201;9964;I;
866069;13396;3;R19127;C;2018;05;20211031;RC;20180501;9964;I;
866069;13396;3;R19273;C;2018;06;20211031;RC;20180601;9964;I;
866069;17323;1;R11921;C;2019;02;20211031;RC;20190201;40272;I;
866069;17323;1;R11952;C;2019;03;20211031;RC;20190301;38594;I;
866069;26866;1;R13495;C;2019;03;20211031;RC;20190301;963;I;
866069;28112;1;R19002;C;2019;03;20211031;RC;20190301;1297;I;
866069;28112;1;R18973;C;2019;04;20211031;RC;20190401;963;I;
866069;17323;1;R11877;C;2019;04;20211031;RC;20190401;38594;I;
866069;26866;1;R13415;C;2019;04;20211031;RC;20190401;963;I;
866069;4265;2;R957;C;2019;05;20211031;RC;20190501;963;I;
866069;17323;1;R11883;C;2019;05;20211031;RC;20190501;38594;I;
866069;26866;1;R13437;C;2019;05;20211031;RC;20190501;963;I;
866069;17323;1;R11868;C;2019;06;20211031;RC;20190601;40272;I;
866069;4265;2;R944;C;2019;06;20211031;RC;20190601;963;I;
866069;26866;1;R13422;C;2019;06;20211031;RC;20190601;963;I;
866069;17323;1;R23597;C;2019;07;20211031;RC;20190701;38594;I;
866069;4265;2;R947;C;2019;07;20211031;RC;20190701;963;I;
866069;26866;1;R13441;C;2019;07;20211031;RC;20190701;963;I;
866069;4265;2;R939;C;2019;08;20211031;RC;20190801;963;I;
866069;26866;1;R13435;C;2019;08;20211031;RC;20190801;963;I;
866069;17323;1;R11877;C;2019;08;20211031;RC;20190801;38594;I;
866069;26866;1;R13450;C;2019;09;20211031;RC;20190901;963;I;
866069;17323;1;R11879;C;2019;09;20211031;RC;20190901;38594;I;
866069;4265;2;R939;C;2019;09;20211031;RC;20190901;963;I;
866069;26866;1;R13511;C;2019;10;20211031;RC;20191001;963;I;
866069;4265;2;R23912;C;2019;10;20211031;RC;20191001;963;I;
866069;17323;1;R11945;C;2019;10;20211031;RC;20191001;38594;I;
866069;32711;1;R19048;C;2019;10;20211031;RC;20191001;6465;I;
866069;4265;2;R875;C;2019;11;20211031;RC;20191101;963;I;
866069;32711;1;R19215;C;2019;11;20211031;RC;20191101;6465;I;
866069;4487;3;R940;C;2019;11;20211031;RC;20191101;2632;I;
866069;26866;1;R13378;C;2019;11;20211031;RC;20191101;963;I;
866069;13901;2;R870;C;2019;11;20211031;RC;20191101;43630;I;
866069;17323;1;R11798;C;2019;11;20211031;RC;20191101;38594;I;
866069;26866;1;R13324;C;2019;12;20211031;RC;20191201;963;I;
866069;17700;1;R23381;C;2019;12;20211031;RC;20191201;537576;I;
866069;13901;2;R23663;C;2019;12;20211031;RC;20191201;40272;I;
866069;19594;1;R23380;C;2019;12;20211031;RC;20191201;434195;I;
866069;4487;3;R961;C;2019;12;20211031;RC;20191201;2632;I;
